"YEAR","SAMPLE","CBSERIAL","STATEFIP","COUNTYFIP","CITY","SEX","AGE","RACE","RACED","RACASIAN","EDUC","EDUCD","EMPSTAT","EMPSTATD","OCC2010","IND","WKSWORK2","UHRSWORK","INCTOT","INCWAGE","INCBUS00","PWSTATE2","PWCOUNTY"
2015,201501,82738,25,0,0,2,11,4,400,2,2,22,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,82738,25,0,0,1,76,4,400,2,10,101,3,30,9920,0,0,0,2100,0,0,0,0
2015,201501,82813,25,25,0,2,24,4,400,2,10,101,1,10,2320,7860,6,50,43800,43800,0,25,25
2015,201501,82961,25,0,3770,1,19,6,669,2,6,65,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,83380,25,25,810,1,41,6,610,2,11,116,1,10,1650,7870,6,60,205000,200000,0,25,25
2015,201501,85149,25,0,930,1,21,6,610,2,7,71,1,10,4640,7870,4,20,15000,15000,0,25,0
2015,201501,85487,25,0,3770,1,43,4,400,2,11,116,1,10,2200,7870,1,20,1500,1500,0,25,0
2015,201501,85487,25,0,3770,1,29,4,400,2,11,116,1,10,1650,7460,6,55,50000,50000,0,25,25
2015,201501,85652,25,0,0,1,29,6,610,2,10,101,1,10,1020,7380,6,40,90000,90000,0,25,0
2015,201501,85652,25,0,0,2,30,6,610,2,10,101,3,30,1020,7380,0,0,0,0,0,0,0
2015,201501,85652,25,0,0,2,2,6,610,2,0,1,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,85652,25,0,0,1,1,6,610,2,0,1,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,86684,25,25,810,2,53,4,400,2,6,63,3,30,9920,0,0,0,440,0,0,0,0
2015,201501,86684,25,25,810,1,56,4,400,2,6,61,1,10,4000,8680,6,50,12000,12000,0,25,25
2015,201501,86684,25,25,810,2,22,4,400,2,7,71,3,30,950,7870,1,7,700,700,0,0,0
2015,201501,86684,25,25,810,2,22,4,400,2,7,71,3,30,5240,6970,1,8,3200,3200,0,0,0
2015,201501,86684,25,25,810,1,17,4,400,2,6,61,3,30,5810,8190,1,5,750,750,0,0,0
2015,201501,86887,25,25,810,2,23,4,400,2,7,71,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,87006,25,0,0,1,18,6,600,2,5,50,3,30,3950,8590,1,30,3500,3500,0,0,0
2015,201501,87006,25,0,0,1,14,6,600,2,2,25,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,89367,25,0,0,1,61,4,400,2,7,71,1,10,430,7380,6,50,130050,130000,0,25,0
2015,201501,89367,25,0,0,2,19,4,400,2,7,71,3,30,9920,0,0,0,4,0,0,0,0
2015,201501,89402,25,0,0,1,41,6,620,2,11,114,1,10,1530,3960,6,40,104000,104000,0,25,0
2015,201501,89402,25,0,0,2,40,6,620,2,11,115,1,10,3060,7970,6,55,180000,180000,0,25,0
2015,201501,89402,25,0,0,2,6,6,620,2,1,11,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,89402,25,0,0,1,3,6,620,2,0,2,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,89485,25,0,0,2,26,6,669,2,7,71,3,30,520,4770,1,40,7000,7000,0,0,0
2015,201501,89979,25,0,0,2,75,4,400,2,6,63,3,30,9920,0,0,0,10200,0,0,0,0
2015,201501,89979,25,0,0,1,78,4,400,2,10,101,3,30,9920,0,0,0,11800,0,0,0,0
2015,201501,91434,25,0,0,2,56,4,400,2,6,61,1,10,9640,4470,6,50,49100,49100,0,25,0
2015,201501,91434,25,0,0,1,63,4,400,2,6,63,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,92251,25,0,7570,2,43,4,400,2,11,114,1,10,1760,3380,6,40,79000,79000,0,25,0
2015,201501,93309,25,25,810,1,50,4,400,2,11,116,1,10,1650,7460,6,40,240000,220000,0,25,0
2015,201501,93309,25,25,810,2,30,4,400,2,11,114,2,20,1430,3960,1,40,7400,7400,0,0,0
2015,201501,93343,25,0,0,2,58,6,600,2,10,101,1,10,710,7390,6,60,42900,0,41700,25,0
2015,201501,93501,25,0,0,1,24,4,400,2,0,2,1,10,5120,7280,6,45,70000,70000,0,25,0
2015,201501,94635,25,0,930,1,26,6,620,2,11,114,1,10,1760,7870,6,40,30000,30000,0,25,0
2015,201501,94700,25,25,810,1,43,4,400,2,11,116,1,10,1760,2190,5,40,120000,120000,0,25,0
2015,201501,94700,25,25,810,2,42,4,400,2,10,101,2,20,3300,7870,0,0,8000,0,0,0,0
