YEAR,STATEFIP,CITY,SEX,AGE,RACED,EDUC,EMPSTAT,OCC2010,IND,UHRSWORK,INCTOT,INCWAGE
2015,25,0,2,43,Chinese,11,3,9920,0,0,0,0
2015,25,0,2,13,Chinese,2,0,9920,0,0,9999999,999999
2015,25,0,1,7,Chinese,1,0,9920,0,0,9999999,999999
2015,25,0,2,41,Filipino,6,1,520,5790,32,18000,17000
2015,25,0,1,16,Korean,4,3,9920,0,0,0,0
2015,25,0,1,33,Indian,10,1,1000,6970,40,70000,70000
2015,25,0,2,30,Indian,10,3,9920,0,0,0,0
2015,25,0,2,3,Indian,0,0,9920,0,0,9999999,999999
2015,25,0,2,1,Indian,0,0,9920,0,0,9999999,999999
2015,25,0,2,54,Indian,6,1,3650,8270,36,20000,20000
2015,25,0,2,50,Vietnamese,6,3,9920,0,0,0,0
2015,25,0,1,43,Filipino,6,1,7750,3960,40,8000,8000
2015,25,0,2,37,Japanese,6,3,9920,0,0,0,0
